,Hotel_Name,City_Name,country_name,Rating,Price/Night,Amenities,Description,Review1,Review2
0,Amsterdam Teleport Hotel,amsterdam,Netherlands,4,5059,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","Heathrowstraat 3-5, 1043 Ce, Amsterdam , Noord-Holland",Hotel staff was amazing. It's near to sloterdijk station. Room was nice.,"hand an awesome stay in hotel Amsterdam teleport , clean big rooms , great staff , all was good......."
1,A&O Amsterdam Zuidoost,amsterdam,Netherlands,4.6,1060,"['Air Conditioning', 'Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service']","Hogehilweg 22, 1101 Cd Amsterdam-Zuidoost , Noord-Holland",The hostel is very well maintained. The staff is very supportive. The kitchen is very good. Spacious bed and room size is good.,Everything was perfect in the property as the location was very good. The staffs services were excellent and so was the rooms and amenities. The experience was wonderful overall.
2,ClinkNOORD Hostel,amsterdam,Netherlands,4.5,3512,"['Parking Facility', 'Banquet hall', 'Restaurant/Coffee Shop', 'Laundry Service']","Badhuiskade, 1031 Kv Amsterdam, Amsterdam Noord, 1031 Cl Amsterdam, Noord-Holland","Staff behavior, amenities and services were nice. Location was nice. There was dining facility. There was no complimentary services.","Location was not so convenient, after Amsterdam we have to take pery & cross the river, but it is available 24/7.Staffs & services were good and it was neat & clean as well.Only issue was we have to prepare the bedding by our self. Overall had a good experience."
3,Radisson Blu Hotel Amsterdam,amsterdam,Netherlands,4.5,11980,"['Air Conditioning', 'Parking Facility', 'Banquet hall', 'Business Services']","Rusland 17, Amsterdam 1012 Ck, Netherlands, Noord-Holland",Good location ! Amazing property !,Review not found
4,Amsterdam ID Aparthotel,amsterdam,Netherlands,4.5,5517,"['Parking Facility', 'Restaurant/Coffee Shop', 'Laundry Service', 'Health-Spa']","Naritaweg 51, 1043 Bp, Amsterda Amsterdam",The staffs were not at all co-operative at this property but the location was very easily accessible. The rooms were neat & clean.,"great and had a comfortable stay, nice clean and big room with full kitchen. thank you Amsterdam ID aparthotel."
5,Lloyd Hotel,amsterdam,Netherlands,4,4894,"['Free Internet', 'Indoor Entertainment', 'Parking Facility', 'Conference Room']","Oostelijke Handelskade, 34, Amsterdam , Pincode- 1019, Noord-Holland",The rooms wiered staff was okay..but the building is intself made in a wierd way you wonder that only while your stay..,wow hotel in outskirts of Amsterdam well connected by local transportation
6,Hyatt Regency Amsterdam,amsterdam,Netherlands,4.5,12687,"['Air Conditioning', 'Parking Facility', 'Banquet hall', 'Business Services']","Sarphatistraat 104, Pincode- 1018 Gv, Amsterdam, Noord-Holland, Netherlands",Review not found,Review not found
7,Estherea Hotel,amsterdam,Netherlands,4.5,7429,"['Free Internet', 'Air Conditioning', 'Indoor Entertainment', 'Parking Facility']","Singel 303-309, 1012 Wj Amsterdam , Noord-Holland","Great location, beautiful property and great staff!",Review not found
8,Hotel Amsterdam De Roode Leeuw,amsterdam,Netherlands,4,9350,"['Parking Facility', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","Damrak 93-94 Amsterdam Netherlands, Pincode- 1012, Noord-Holland",Review not found,Review not found
9,Hotel Okura Amsterdam,amsterdam,Netherlands,4.5,15732,"['Room Service', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']","Ferdinand Bolstraat 333, 1072 Lh Amsterdam, Netherlands, Noord-Holland",Review not found,Review not found
