Serial number,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
12027,01-02-2020,IN,India,SEARO,0,1,0,0
12028,02-02-2020,IN,India,SEARO,1,2,0,0
12029,03-02-2020,IN,India,SEARO,1,3,0,0
12030,04-02-2020,IN,India,SEARO,0,3,0,0
12031,05-02-2020,IN,India,SEARO,0,3,0,0
12032,06-02-2020,IN,India,SEARO,0,3,0,0
12033,07-02-2020,IN,India,SEARO,0,3,0,0
12034,08-02-2020,IN,India,SEARO,0,3,0,0
12035,09-02-2020,IN,India,SEARO,0,3,0,0
12036,10-02-2020,IN,India,SEARO,0,3,0,0
12037,11-02-2020,IN,India,SEARO,0,3,0,0
12038,12-02-2020,IN,India,SEARO,0,3,0,0
12039,13-02-2020,IN,India,SEARO,0,3,0,0
12040,14-02-2020,IN,India,SEARO,0,3,0,0
12041,15-02-2020,IN,India,SEARO,0,3,0,0
12042,16-02-2020,IN,India,SEARO,0,3,0,0
12043,17-02-2020,IN,India,SEARO,0,3,0,0
12044,18-02-2020,IN,India,SEARO,0,3,0,0
12045,19-02-2020,IN,India,SEARO,0,3,0,0
12046,20-02-2020,IN,India,SEARO,0,3,0,0
12047,21-02-2020,IN,India,SEARO,0,3,0,0
12048,22-02-2020,IN,India,SEARO,0,3,0,0
12049,23-02-2020,IN,India,SEARO,0,3,0,0
12050,24-02-2020,IN,India,SEARO,0,3,0,0
12051,25-02-2020,IN,India,SEARO,0,3,0,0
12052,26-02-2020,IN,India,SEARO,0,3,0,0
12053,27-02-2020,IN,India,SEARO,0,3,0,0
12054,28-02-2020,IN,India,SEARO,0,3,0,0
12055,29-02-2020,IN,India,SEARO,0,3,0,0
12056,01-03-2020,IN,India,SEARO,0,3,0,0
12057,02-03-2020,IN,India,SEARO,2,5,0,0
12058,03-03-2020,IN,India,SEARO,0,5,0,0
12059,04-03-2020,IN,India,SEARO,22,27,0,0
12060,05-03-2020,IN,India,SEARO,2,29,0,0
12061,06-03-2020,IN,India,SEARO,2,31,0,0
12062,07-03-2020,IN,India,SEARO,3,34,0,0
12063,08-03-2020,IN,India,SEARO,5,39,0,0
12064,09-03-2020,IN,India,SEARO,5,44,0,0
12065,10-03-2020,IN,India,SEARO,6,50,0,0
12066,11-03-2020,IN,India,SEARO,10,60,0,0
12067,12-03-2020,IN,India,SEARO,14,74,0,0
12068,13-03-2020,IN,India,SEARO,7,81,1,1
12069,14-03-2020,IN,India,SEARO,3,84,1,2
12070,15-03-2020,IN,India,SEARO,23,107,0,2
12071,16-03-2020,IN,India,SEARO,7,114,0,2
12072,17-03-2020,IN,India,SEARO,23,137,1,3
12073,18-03-2020,IN,India,SEARO,14,151,0,3
12074,19-03-2020,IN,India,SEARO,44,195,1,4
12075,20-03-2020,IN,India,SEARO,0,195,0,4
12076,21-03-2020,IN,India,SEARO,88,283,0,4
12077,22-03-2020,IN,India,SEARO,58,341,1,5
12078,23-03-2020,IN,India,SEARO,93,434,4,9
12079,24-03-2020,IN,India,SEARO,85,519,0,9
12080,25-03-2020,IN,India,SEARO,87,606,1,10
12081,26-03-2020,IN,India,SEARO,43,649,3,13
12082,27-03-2020,IN,India,SEARO,75,724,4,17
12083,28-03-2020,IN,India,SEARO,0,724,0,17
12084,29-03-2020,IN,India,SEARO,255,979,8,25
12085,30-03-2020,IN,India,SEARO,92,1071,4,29
12086,31-03-2020,IN,India,SEARO,180,1251,3,32
12087,01-04-2020,IN,India,SEARO,385,1636,6,38
12088,02-04-2020,IN,India,SEARO,329,1965,12,50
12089,03-04-2020,IN,India,SEARO,336,2301,6,56
12090,04-04-2020,IN,India,SEARO,601,2902,12,68
12091,05-04-2020,IN,India,SEARO,472,3374,9,77
12092,06-04-2020,IN,India,SEARO,693,4067,32,109
12093,07-04-2020,IN,India,SEARO,354,4421,5,114
12094,08-04-2020,IN,India,SEARO,853,5274,35,149
12095,09-04-2020,IN,India,SEARO,591,5865,20,169
12096,10-04-2020,IN,India,SEARO,547,6412,30,199
12097,11-04-2020,IN,India,SEARO,1035,7447,40,239
12098,12-04-2020,IN,India,SEARO,909,8356,34,273
12099,13-04-2020,IN,India,SEARO,796,9152,35,308
12100,14-04-2020,IN,India,SEARO,1211,10363,31,339
12101,15-04-2020,IN,India,SEARO,1076,11439,38,377
12102,16-04-2020,IN,India,SEARO,941,12380,37,414
12103,17-04-2020,IN,India,SEARO,1007,13387,23,437
12104,18-04-2020,IN,India,SEARO,991,14378,43,480
12105,19-04-2020,IN,India,SEARO,1334,15712,27,507
12106,20-04-2020,IN,India,SEARO,1553,17265,36,543
12107,21-04-2020,IN,India,SEARO,1336,18601,47,590
12108,22-04-2020,IN,India,SEARO,1383,19984,50,640
12109,23-04-2020,IN,India,SEARO,1409,21393,41,681
12110,24-04-2020,IN,India,SEARO,1684,23077,37,718
12111,25-04-2020,IN,India,SEARO,1429,24506,57,775
12112,26-04-2020,IN,India,SEARO,1990,26496,49,824
12113,27-04-2020,IN,India,SEARO,1396,27892,48,872
12114,28-04-2020,IN,India,SEARO,1543,29435,62,934
12115,29-04-2020,IN,India,SEARO,1897,31332,73,1007
12116,30-04-2020,IN,India,SEARO,1718,33050,67,1074
12117,01-05-2020,IN,India,SEARO,1993,35043,73,1147
12118,02-05-2020,IN,India,SEARO,2293,37336,71,1218
12119,03-05-2020,IN,India,SEARO,2644,39980,83,1301
12120,04-05-2020,IN,India,SEARO,2553,42533,72,1373
12121,05-05-2020,IN,India,SEARO,3900,46433,195,1568
12122,06-05-2020,IN,India,SEARO,2958,49391,126,1694
12123,07-05-2020,IN,India,SEARO,3561,52952,89,1783
12124,08-05-2020,IN,India,SEARO,3390,56342,103,1886
12125,09-05-2020,IN,India,SEARO,3320,59662,95,1981
12126,10-05-2020,IN,India,SEARO,3277,62939,128,2109
12127,11-05-2020,IN,India,SEARO,4213,67152,97,2206
12128,12-05-2020,IN,India,SEARO,3604,70756,87,2293
12129,13-05-2020,IN,India,SEARO,3525,74281,122,2415
12130,14-05-2020,IN,India,SEARO,3722,78003,134,2549
12131,15-05-2020,IN,India,SEARO,3967,81970,100,2649
12132,16-05-2020,IN,India,SEARO,3970,85940,103,2752
12133,17-05-2020,IN,India,SEARO,4987,90927,120,2872
12134,18-05-2020,IN,India,SEARO,5242,96169,157,3029
12135,19-05-2020,IN,India,SEARO,4970,101139,134,3163
